name,kind,lr,epochs,size,best_epoch,val_macro_f1,val_accuracy,val_loss,stage_seconds,total_seconds,parameters,trainable_parameters,peak_gpu_mb,width,test_accuracy,test_macro_f1,selected_on_validation
mobilenet_finetuned,finetune,1e-05,5,128,4,0.9463821560296403,0.9483333333333334,0.1476410045661032,126.57714674699992,330.5582886709999,2236682,1207690,285.47705078125,,0.9522222222222222,0.9502130203424116,True
mobilenet_frozen,frozen,0.001,8,128,7,0.935335747169517,0.9374074074074074,0.1861567735782376,203.98114192399999,203.98114192399999,2236682,12810,271.64501953125,,0.94,0.9377057926552848,False
cnn_wide,cnn,0.001,12,64,8,0.8687584106144313,0.8733333333333333,0.3553830009036594,168.73877759999982,168.73877759999982,94762,94762,218.4091796875,32.0,0.8722222222222222,0.86705902636141,False
cnn_small,cnn,0.001,12,64,12,0.8338991414495027,0.8390740740740741,0.46687883306432654,167.72979119599995,167.72979119599995,24346,24346,122.47119140625,16.0,0.8394444444444444,0.8329642959717658,False
mlp_lr_3e4,mlp,0.0003,12,64,12,0.5661606261881268,0.575925925925926,1.2461322694354586,164.05234213900007,164.05234213900007,3148554,3148554,83.73974609375,,0.5698148148148148,0.5606607176685597,False
mlp_lr_1e3,mlp,0.001,12,64,12,0.554775506533615,0.562962962962963,1.4617885504828558,167.933053793,167.933053793,3148554,3148554,83.73974609375,,0.5433333333333333,0.5348438178288629,False
