name,epoch,train_loss,val_loss,val_accuracy,val_macro_f1
cnn_small,2,0.8382779721271845,0.7504432984193166,0.7414814814814815,0.7255980635209853
cnn_small,3,0.7203641614207515,0.7864229373578672,0.7298148148148148,0.707850681337833
cnn_small,4,0.6818634463239599,0.681750965471621,0.7637037037037037,0.7523066051004571
cnn_small,5,0.6253349770439995,0.5518382845984565,0.8133333333333334,0.8045986208864202
cnn_small,6,0.5819651794433593,0.5107776442059764,0.8257407407407408,0.8167505459999976
cnn_small,7,0.5586597466468811,0.6376232409477234,0.767962962962963,0.7558678304816937
cnn_small,8,0.5308597889947303,0.47410574418527107,0.8381481481481482,0.8295967326295764
cnn_small,9,0.5175008099756123,0.7675053755000786,0.7446296296296296,0.7319368101022714
cnn_small,10,0.5014762511518267,0.7037672633374179,0.7738888888888888,0.7602750496035998
cnn_small,11,0.4937621399502695,0.5775037161950712,0.8009259259259259,0.7955308044662577
cnn_small,12,0.4819549208511541,0.46687883306432654,0.8390740740740741,0.8338991414495027
cnn_wide,1,1.0267630959734504,0.7941749028806333,0.7509259259259259,0.7444397095006263
cnn_wide,2,0.684778560915111,0.6515669949187173,0.7811111111111111,0.7716550982046677
cnn_wide,3,0.5902190071859478,0.5488013496222319,0.812962962962963,0.8002612733522986
cnn_wide,4,0.5542640556818174,0.5555472215071873,0.8014814814814815,0.7942707741155477
cnn_wide,5,0.5009448300467597,0.47505715281875044,0.8344444444444444,0.8276456063912109
cnn_wide,6,0.4662047051206047,0.42836691316631104,0.8561111111111112,0.8458237472102101
cnn_wide,7,0.4218860637552944,0.41628659327824913,0.8603703703703703,0.8539123381614466
cnn_wide,8,0.4013357527903569,0.3553830009036594,0.8733333333333333,0.8687584106144313
cnn_wide,9,0.3888983764766175,0.5179256371215538,0.8288888888888889,0.8277569987901033
cnn_wide,10,0.3757793720268909,0.4879486538304223,0.8311111111111111,0.8270320410447601
cnn_wide,11,0.35874252603377826,0.42835169984234706,0.8468518518518519,0.8397594914485067
cnn_wide,12,0.34783774509842014,0.37043361487212006,0.8637037037037038,0.8555635815468312
mobilenet_frozen,1,0.671626954505473,0.3339331665966246,0.9109259259259259,0.9082337479874779
mobilenet_frozen,2,0.2881390291452408,0.25739182050581333,0.9225925925925926,0.9204674550018513
mobilenet_frozen,3,0.23232123149765863,0.2282870356352241,0.9303703703703704,0.9284012566381661
mobilenet_frozen,4,0.20241306644898874,0.2074938307978489,0.9348148148148148,0.9325444142087876
mobilenet_frozen,5,0.1854741186565823,0.1978260769667449,0.9342592592592592,0.931769997048864
mobilenet_frozen,6,0.1693951984246572,0.18831739920156973,0.9357407407407408,0.933330535973457
mobilenet_frozen,7,0.16068416642554012,0.1861567735782376,0.9374074074074074,0.935335747169517
mobilenet_frozen,8,0.15017992589944676,0.18397393015799698,0.9374074074074074,0.9349676678492254
mobilenet_finetuned,1,0.12708106093200636,0.15988633800160001,0.9435185185185185,0.941494925793166
mobilenet_finetuned,2,0.11141361870147563,0.15739575025935967,0.9453703703703704,0.9435296540595572
mobilenet_finetuned,3,0.10100809683218415,0.1581418895252325,0.9466666666666667,0.9447881426272419
mobilenet_finetuned,4,0.09092312347373845,0.1476410045661032,0.9483333333333334,0.9463821560296403
mobilenet_finetuned,5,0.08487255218220346,0.14579309470192703,0.9466666666666667,0.9445463388028921
