name,epoch,train_loss,val_loss,val_accuracy,val_macro_f1
mlp_lr_1e3,1,2.81088476534243,1.6118264615977251,0.47,0.4397964929475117
mlp_lr_1e3,2,1.585272526682159,1.4507875612930015,0.48185185185185186,0.4555821022800526
mlp_lr_1e3,3,1.476716205102426,1.4052804706714772,0.5116666666666667,0.4898281963339238
mlp_lr_1e3,4,1.357963659969377,1.4147880379358928,0.487962962962963,0.4617080599064563
mlp_lr_1e3,5,1.2908862404175747,1.4155319872608891,0.5127777777777778,0.48686812264658885
mlp_lr_1e3,6,1.2406784537986473,1.3376919069996587,0.5451851851851852,0.5272085670151463
mlp_lr_1e3,7,1.2119280056305874,1.354951605266995,0.5435185185185185,0.5250614715963897
mlp_lr_1e3,8,1.160164003254455,1.6608371591567994,0.43777777777777777,0.4385545465107059
mlp_lr_1e3,9,1.1670462583023824,1.3066854729475799,0.5640740740740741,0.5534861153220534
mlp_lr_1e3,10,1.1020870639659741,1.534249748830442,0.5120370370370371,0.5152713838473757
mlp_lr_1e3,11,1.099626108687601,1.514083322595667,0.5453703703703704,0.5344189716075257
mlp_lr_1e3,12,1.089305106975414,1.4617885504828558,0.562962962962963,0.554775506533615
mlp_lr_3e4,1,1.899529174051167,1.529627830893905,0.4824074074074074,0.45209100671675106
mlp_lr_3e4,2,1.484746937516295,1.4291730215814378,0.4874074074074074,0.4509089240195352
mlp_lr_3e4,3,1.403282819736151,1.3744120732060185,0.5068518518518519,0.4729989373058154
mlp_lr_3e4,4,1.307854441948879,1.3108731148861072,0.5309259259259259,0.515579222349573
mlp_lr_3e4,5,1.223132828488762,1.3305955420600044,0.5412962962962963,0.5282545777656812
mlp_lr_3e4,6,1.175809472343068,1.325400476279082,0.5507407407407408,0.5366148961035948
mlp_lr_3e4,7,1.119573033415241,1.2991558844071847,0.5453703703703704,0.5272943949086616
mlp_lr_3e4,8,1.0720562338534696,1.2366084734598795,0.5753703703703704,0.5631238494391448
mlp_lr_3e4,9,1.0382054865213088,1.253901148725439,0.5764814814814815,0.5655278879716679
mlp_lr_3e4,10,1.0018526101995398,1.317766524420844,0.5664814814814815,0.5634086573639989
mlp_lr_3e4,11,0.9834731880235084,1.3149216701366284,0.5557407407407408,0.5367381824995942
mlp_lr_3e4,12,0.9661862117272836,1.2461322694354586,0.575925925925926,0.5661606261881268
cnn_small,1,1.2695568905347658,0.8935398143309135,0.7262962962962963,0.7117538277505957
